PING 10.5.16.152 (10.5.16.152) 64(92) bytes of data.
72 bytes from 10.5.16.152: icmp_seq=82 ttl=60 time=2.33 ms
72 bytes from 10.5.16.152: icmp_seq=83 ttl=60 time=6.10 ms
72 bytes from 10.5.16.152: icmp_seq=84 ttl=60 time=20.1 ms
72 bytes from 10.5.16.152: icmp_seq=85 ttl=60 time=4.95 ms
72 bytes from 10.5.16.152: icmp_seq=86 ttl=60 time=3.98 ms
72 bytes from 10.5.16.152: icmp_seq=87 ttl=60 time=4.25 ms
72 bytes from 10.5.16.152: icmp_seq=88 ttl=60 time=3.71 ms
72 bytes from 10.5.16.152: icmp_seq=89 ttl=60 time=5.09 ms
72 bytes from 10.5.16.152: icmp_seq=90 ttl=60 time=5.28 ms
72 bytes from 10.5.16.152: icmp_seq=91 ttl=60 time=3.22 ms
72 bytes from 10.5.16.152: icmp_seq=92 ttl=60 time=2.95 ms
72 bytes from 10.5.16.152: icmp_seq=93 ttl=60 time=2.93 ms
72 bytes from 10.5.16.152: icmp_seq=94 ttl=60 time=5.61 ms
72 bytes from 10.5.16.152: icmp_seq=95 ttl=60 time=3.23 ms
72 bytes from 10.5.16.152: icmp_seq=96 ttl=60 time=3.11 ms
72 bytes from 10.5.16.152: icmp_seq=97 ttl=60 time=3.61 ms
72 bytes from 10.5.16.152: icmp_seq=98 ttl=60 time=3.10 ms
72 bytes from 10.5.16.152: icmp_seq=99 ttl=60 time=5.60 ms
72 bytes from 10.5.16.152: icmp_seq=100 ttl=60 time=4.39 ms

--- 10.5.16.152 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99173ms
rtt min/avg/max/mdev = 1.966/7.215/44.281/8.430 ms

>> 128

PING 10.5.16.152 (10.5.16.152) 128(156) bytes of data.
136 bytes from 10.5.16.152: icmp_seq=1 ttl=60 time=2.59 ms
136 bytes from 10.5.16.152: icmp_seq=2 ttl=60 time=5.55 ms
136 bytes from 10.5.16.152: icmp_seq=3 ttl=60 time=5.97 ms
136 bytes from 10.5.16.152: icmp_seq=4 ttl=60 time=2.78 ms
136 bytes from 10.5.16.152: icmp_seq=5 ttl=60 time=3.22 ms
136 bytes from 10.5.16.152: icmp_seq=6 ttl=60 time=5.38 ms
136 bytes from 10.5.16.152: icmp_seq=7 ttl=60 time=2.69 ms
136 bytes from 10.5.16.152: icmp_seq=8 ttl=60 time=41.0 ms
136 bytes from 10.5.16.152: icmp_seq=9 ttl=60 time=2.01 ms
136 bytes from 10.5.16.152: icmp_seq=10 ttl=60 time=4.94 ms
136 bytes from 10.5.16.152: icmp_seq=11 ttl=60 time=7.81 ms
136 bytes from 10.5.16.152: icmp_seq=12 ttl=60 time=11.8 ms
136 bytes from 10.5.16.152: icmp_seq=13 ttl=60 time=2.38 ms
136 bytes from 10.5.16.152: icmp_seq=14 ttl=60 time=3.95 ms
136 bytes from 10.5.16.152: icmp_seq=15 ttl=60 time=4.84 ms
136 bytes from 10.5.16.152: icmp_seq=16 ttl=60 time=3.42 ms
136 bytes from 10.5.16.152: icmp_seq=17 ttl=60 time=33.8 ms
136 bytes from 10.5.16.152: icmp_seq=18 ttl=60 time=2.17 ms
136 bytes from 10.5.16.152: icmp_seq=19 ttl=60 time=2.85 ms
136 bytes from 10.5.16.152: icmp_seq=20 ttl=60 time=5.88 ms
136 bytes from 10.5.16.152: icmp_seq=21 ttl=60 time=6.51 ms
136 bytes from 10.5.16.152: icmp_seq=22 ttl=60 time=3.41 ms
136 bytes from 10.5.16.152: icmp_seq=23 ttl=60 time=4.02 ms
136 bytes from 10.5.16.152: icmp_seq=24 ttl=60 time=7.05 ms
136 bytes from 10.5.16.152: icmp_seq=25 ttl=60 time=3.88 ms
136 bytes from 10.5.16.152: icmp_seq=26 ttl=60 time=10.5 ms
136 bytes from 10.5.16.152: icmp_seq=27 ttl=60 time=3.17 ms
136 bytes from 10.5.16.152: icmp_seq=28 ttl=60 time=3.01 ms
136 bytes from 10.5.16.152: icmp_seq=29 ttl=60 time=3.48 ms
136 bytes from 10.5.16.152: icmp_seq=30 ttl=60 time=3.00 ms
136 bytes from 10.5.16.152: icmp_seq=31 ttl=60 time=2.79 ms
136 bytes from 10.5.16.152: icmp_seq=32 ttl=60 time=2.94 ms
136 bytes from 10.5.16.152: icmp_seq=33 ttl=60 time=2.49 ms
136 bytes from 10.5.16.152: icmp_seq=34 ttl=60 time=3.17 ms
136 bytes from 10.5.16.152: icmp_seq=35 ttl=60 time=25.0 ms
136 bytes from 10.5.16.152: icmp_seq=36 ttl=60 time=5.51 ms
136 bytes from 10.5.16.152: icmp_seq=37 ttl=60 time=3.45 ms
136 bytes from 10.5.16.152: icmp_seq=38 ttl=60 time=5.39 ms
136 bytes from 10.5.16.152: icmp_seq=39 ttl=60 time=5.02 ms
136 bytes from 10.5.16.152: icmp_seq=40 ttl=60 time=5.27 ms
136 bytes from 10.5.16.152: icmp_seq=41 ttl=60 time=3.67 ms
136 bytes from 10.5.16.152: icmp_seq=42 ttl=60 time=2.71 ms
136 bytes from 10.5.16.152: icmp_seq=43 ttl=60 time=5.35 ms
136 bytes from 10.5.16.152: icmp_seq=44 ttl=60 time=4.05 ms
136 bytes from 10.5.16.152: icmp_seq=45 ttl=60 time=3.23 ms
136 bytes from 10.5.16.152: icmp_seq=46 ttl=60 time=2.32 ms
136 bytes from 10.5.16.152: icmp_seq=47 ttl=60 time=2.80 ms
136 bytes from 10.5.16.152: icmp_seq=48 ttl=60 time=3.63 ms
136 bytes from 10.5.16.152: icmp_seq=49 ttl=60 time=7.03 ms
136 bytes from 10.5.16.152: icmp_seq=50 ttl=60 time=2.28 ms
136 bytes from 10.5.16.152: icmp_seq=51 ttl=60 time=3.55 ms
136 bytes from 10.5.16.152: icmp_seq=52 ttl=60 time=3.97 ms
136 bytes from 10.5.16.152: icmp_seq=53 ttl=60 time=24.0 ms
136 bytes from 10.5.16.152: icmp_seq=54 ttl=60 time=3.41 ms
136 bytes from 10.5.16.152: icmp_seq=55 ttl=60 time=2.82 ms
136 bytes from 10.5.16.152: icmp_seq=56 ttl=60 time=2.34 ms
136 bytes from 10.5.16.152: icmp_seq=57 ttl=60 time=4.14 ms
136 bytes from 10.5.16.152: icmp_seq=58 ttl=60 time=2.76 ms
136 bytes from 10.5.16.152: icmp_seq=59 ttl=60 time=3.00 ms
136 bytes from 10.5.16.152: icmp_seq=60 ttl=60 time=2.53 ms
136 bytes from 10.5.16.152: icmp_seq=61 ttl=60 time=2.34 ms
136 bytes from 10.5.16.152: icmp_seq=62 ttl=60 time=2.67 ms
136 bytes from 10.5.16.152: icmp_seq=63 ttl=60 time=7.51 ms
136 bytes from 10.5.16.152: icmp_seq=64 ttl=60 time=4.45 ms
136 bytes from 10.5.16.152: icmp_seq=65 ttl=60 time=3.13 ms
136 bytes from 10.5.16.152: icmp_seq=66 ttl=60 time=3.45 ms
136 bytes from 10.5.16.152: icmp_seq=67 ttl=60 time=7.89 ms
136 bytes from 10.5.16.152: icmp_seq=68 ttl=60 time=3.12 ms
136 bytes from 10.5.16.152: icmp_seq=69 ttl=60 time=3.09 ms
136 bytes from 10.5.16.152: icmp_seq=70 ttl=60 time=2.63 ms
136 bytes from 10.5.16.152: icmp_seq=71 ttl=60 time=2.64 ms
136 bytes from 10.5.16.152: icmp_seq=72 ttl=60 time=2.62 ms
136 bytes from 10.5.16.152: icmp_seq=73 ttl=60 time=12.8 ms
136 bytes from 10.5.16.152: icmp_seq=74 ttl=60 time=3.54 ms
136 bytes from 10.5.16.152: icmp_seq=75 ttl=60 time=2.89 ms
136 bytes from 10.5.16.152: icmp_seq=76 ttl=60 time=3.17 ms
136 bytes from 10.5.16.152: icmp_seq=77 ttl=60 time=3.76 ms
136 bytes from 10.5.16.152: icmp_seq=78 ttl=60 time=5.03 ms
136 bytes from 10.5.16.152: icmp_seq=79 ttl=60 time=4.08 ms
136 bytes from 10.5.16.152: icmp_seq=80 ttl=60 time=3.68 ms
136 bytes from 10.5.16.152: icmp_seq=81 ttl=60 time=2.59 ms
136 bytes from 10.5.16.152: icmp_seq=82 ttl=60 time=2.44 ms
136 bytes from 10.5.16.152: icmp_seq=83 ttl=60 time=3.76 ms
136 bytes from 10.5.16.152: icmp_seq=84 ttl=60 time=3.86 ms
136 bytes from 10.5.16.152: icmp_seq=85 ttl=60 time=24.2 ms
136 bytes from 10.5.16.152: icmp_seq=86 ttl=60 time=2.85 ms
136 bytes from 10.5.16.152: icmp_seq=87 ttl=60 time=6.07 ms
136 bytes from 10.5.16.152: icmp_seq=88 ttl=60 time=3.70 ms
136 bytes from 10.5.16.152: icmp_seq=89 ttl=60 time=4.42 ms
136 bytes from 10.5.16.152: icmp_seq=90 ttl=60 time=2.34 ms
136 bytes from 10.5.16.152: icmp_seq=91 ttl=60 time=3.01 ms
136 bytes from 10.5.16.152: icmp_seq=92 ttl=60 time=3.15 ms
136 bytes from 10.5.16.152: icmp_seq=93 ttl=60 time=2.79 ms
136 bytes from 10.5.16.152: icmp_seq=94 ttl=60 time=6.33 ms
136 bytes from 10.5.16.152: icmp_seq=95 ttl=60 time=2.29 ms
136 bytes from 10.5.16.152: icmp_seq=96 ttl=60 time=2.64 ms
136 bytes from 10.5.16.152: icmp_seq=97 ttl=60 time=9.66 ms
136 bytes from 10.5.16.152: icmp_seq=98 ttl=60 time=4.18 ms
136 bytes from 10.5.16.152: icmp_seq=99 ttl=60 time=4.26 ms
136 bytes from 10.5.16.152: icmp_seq=100 ttl=60 time=3.72 ms

--- 10.5.16.152 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99165ms
rtt min/avg/max/mdev = 2.014/5.365/41.030/6.095 ms

>> 512 
PING 10.5.16.152 (10.5.16.152) 512(540) bytes of data.
520 bytes from 10.5.16.152: icmp_seq=1 ttl=60 time=2.55 ms
520 bytes from 10.5.16.152: icmp_seq=2 ttl=60 time=3.22 ms
520 bytes from 10.5.16.152: icmp_seq=3 ttl=60 time=6.17 ms
520 bytes from 10.5.16.152: icmp_seq=4 ttl=60 time=3.15 ms
520 bytes from 10.5.16.152: icmp_seq=5 ttl=60 time=3.68 ms
520 bytes from 10.5.16.152: icmp_seq=6 ttl=60 time=2.72 ms
520 bytes from 10.5.16.152: icmp_seq=7 ttl=60 time=3.03 ms
520 bytes from 10.5.16.152: icmp_seq=8 ttl=60 time=2.85 ms
520 bytes from 10.5.16.152: icmp_seq=9 ttl=60 time=11.0 ms
520 bytes from 10.5.16.152: icmp_seq=10 ttl=60 time=2.78 ms
520 bytes from 10.5.16.152: icmp_seq=11 ttl=60 time=3.65 ms
520 bytes from 10.5.16.152: icmp_seq=12 ttl=60 time=3.32 ms
520 bytes from 10.5.16.152: icmp_seq=13 ttl=60 time=109 ms
520 bytes from 10.5.16.152: icmp_seq=14 ttl=60 time=3.98 ms
520 bytes from 10.5.16.152: icmp_seq=15 ttl=60 time=3.09 ms
520 bytes from 10.5.16.152: icmp_seq=16 ttl=60 time=4.73 ms
520 bytes from 10.5.16.152: icmp_seq=17 ttl=60 time=3.76 ms
520 bytes from 10.5.16.152: icmp_seq=18 ttl=60 time=3.84 ms
520 bytes from 10.5.16.152: icmp_seq=19 ttl=60 time=2.97 ms
520 bytes from 10.5.16.152: icmp_seq=20 ttl=60 time=2.26 ms
520 bytes from 10.5.16.152: icmp_seq=21 ttl=60 time=3.80 ms
520 bytes from 10.5.16.152: icmp_seq=22 ttl=60 time=2.70 ms
520 bytes from 10.5.16.152: icmp_seq=23 ttl=60 time=2.83 ms
520 bytes from 10.5.16.152: icmp_seq=24 ttl=60 time=3.93 ms
520 bytes from 10.5.16.152: icmp_seq=25 ttl=60 time=5.06 ms
520 bytes from 10.5.16.152: icmp_seq=26 ttl=60 time=4.02 ms
520 bytes from 10.5.16.152: icmp_seq=27 ttl=60 time=4.10 ms
520 bytes from 10.5.16.152: icmp_seq=28 ttl=60 time=14.7 ms
520 bytes from 10.5.16.152: icmp_seq=29 ttl=60 time=3.51 ms
520 bytes from 10.5.16.152: icmp_seq=30 ttl=60 time=2.26 ms
520 bytes from 10.5.16.152: icmp_seq=31 ttl=60 time=4.42 ms
520 bytes from 10.5.16.152: icmp_seq=32 ttl=60 time=4.52 ms
520 bytes from 10.5.16.152: icmp_seq=33 ttl=60 time=3.75 ms
520 bytes from 10.5.16.152: icmp_seq=34 ttl=60 time=4.32 ms
520 bytes from 10.5.16.152: icmp_seq=35 ttl=60 time=3.31 ms
520 bytes from 10.5.16.152: icmp_seq=36 ttl=60 time=3.30 ms
520 bytes from 10.5.16.152: icmp_seq=37 ttl=60 time=4.17 ms
520 bytes from 10.5.16.152: icmp_seq=38 ttl=60 time=12.1 ms
520 bytes from 10.5.16.152: icmp_seq=39 ttl=60 time=3.59 ms
520 bytes from 10.5.16.152: icmp_seq=40 ttl=60 time=3.33 ms
520 bytes from 10.5.16.152: icmp_seq=41 ttl=60 time=4.08 ms
520 bytes from 10.5.16.152: icmp_seq=42 ttl=60 time=5.45 ms
520 bytes from 10.5.16.152: icmp_seq=43 ttl=60 time=10.3 ms
520 bytes from 10.5.16.152: icmp_seq=44 ttl=60 time=2.93 ms
520 bytes from 10.5.16.152: icmp_seq=45 ttl=60 time=15.0 ms
520 bytes from 10.5.16.152: icmp_seq=46 ttl=60 time=2.96 ms
520 bytes from 10.5.16.152: icmp_seq=47 ttl=60 time=2.34 ms
